"id","name","description","default_code"
"__export__.product_template_604_2c1b1925","Tokin Vapes Disposable Pen Banana","","VA0029"
"__export__.product_template_600_2caa0e39","Tokin Vapes Disposable Pen Cupcake","","VA0025"
"__export__.product_template_617_17dc1630","capsules","",""
"__export__.product_template_666_1b2eb59c","creekside","",""
"__export__.product_template_660_cdb60447","de","",""
"__export__.product_template_641_c532112e","flavo","",""
"__export__.product_template_676_32c6bfdf","lemon","",""
"__export__.product_template_667_517497ea","neutron CBD","",""
"__export__.product_template_655_5611c30d","para","",""
"__export__.product_template_618_bed8d627","spliffin","",""
"__export__.product_template_383","test","",""
"import_03_29_0001","V3 Accessory - Vapor Deliver System - NO THC or CBD","","AC0003"
"import_03_29_0002","V4 - Accessory - Vapor Deliver System - NO THC or CBD","","AC0004"
"import_03_30_0009","Alpha Extracts - Distillate - Pure CBD Oil - 10g","","CO0001"
"import_03_30_0010","Alpha Extracts - Distillate - Pure CBD Oil - 3g","","CO0002"
"import_03_30_0011","Alpha Extracts - Distillate - Pure CBD Oil - 1g","","CO0003"
"import_03_30_0012","Alpha Extracts - Vape - CBD Vape Assorted - 20mg","","CO0004"
"import_03_30_0013","Alpha Extracts - Vape - CBD Vape Assorted - 100mg","","CO0005"
